State,State of emergency,Date closed K-12 schools,Closed day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Reopen businesses,Religious Gatherings Exempt Without Clear Social Distance Mandate*,Mandate face mask use by all individuals in public spaces,Mandate face mask use by employees in public-facing businesses,Alcohol/Liquor Stores Open,Keep Firearms Sellers Open,Closed restaurants except take out,Reopen restaurants,Closed gyms,Reopened gyms,Closed movie theaters,Reopened movie theaters,Stop Initiation of Evictions overall or due to COVID related issues,Stop enforcement of evictions overall or due to COVID related issues,Renter grace period or use of security deposit to pay rent,Order freezing utility shut offs,Froze mortgage payments,Modify Medicaid requirements with 1135 waivers (date of CMS approval),Reopened ACA enrollment using a special enrollment period,Allow audio-only telehealth,Allow/expand Medicaid telehealth coverage,Suspended elective medical/dental procedures,Resumed elective medical procedures,"Prior to pandemic, no state unemployment waiting period; or date waiting period waived not found",Waived one week waiting period for unemployment insurance,Made Effort to Limit Abortion Access,Efforts to limit abortion access details,Waive work search requirement for unemployment insurance,Expand eligibility of unemployment insurance to anyonewho is quarantined and/or taking care of someone who is quarantined,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Paid sick leave,Medicaid Expansion,Population density per square miles,Population 2018 ,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018
Oklahoma,3/15/20,3/17/20,0,3/16/20,0,0,4/1/20,4/24/20,0,0,0,1,1,4/1/20,5/1/20,4/1/20,5/1/20,4/1/20,5/1/20,0,0,0,0,0,3/24/20,0,0,3/16/20,3/24/20,4/24/20,0,3/21/20,1,"Prohibited elective procedures on 3/24, clarified in a press statement 3/27 that this applied to all non-emergency abortion services. On 4/20, a federal district court issued a preliminary injunction permitting medication abortion services and abortions for pregnancies reaching the legal limit",1,0,0,0,0,0,56.41,3943079,69899,"3,944",4.4,15.6,40.8,"40,933"
Oregon,3/8/20,3/16/20,3/25/20,0,3/23/20,0,0,0,0,0,0,1,1,3/17/20,0,3/24/20,0,3/24/20,0,4/1/20,3/22/20,0,0,0,3/25/20,0,3/13/20,3/13/20,3/18/20,5/1/20,0,0,0,0,1,1,1,0,1,1,42.60,4190713,98379,"15,876",5,12.6,39.8,"36,187"
Pennsylvania,3/6/20,3/16/20,3/17/20,3/17/20,4/1/20,0,3/19/20,0,1,4/19/20,4/19/20,1,1,3/17/20,0,3/19/20,0,3/19/20,0,3/18/20,3/18/20,0,3/13/20,0,3/27/20,0,0,3/20/20,3/20/20,4/27/20,0,3/27/20,1,"A bill was proposed to expand telemedicine in PA prior in Nov 2019, this bill expanded telemedicine with the exception of abortion services. The bill passed 4/21/20 and was delivered to the Governor 4/28/20, before he vetoed it on 4/29/20",1,1,0,0,0,1,278.09,12807060,46054,"13,199",4.9,12.2,39.8,"134,702"
Rhode Island,3/9/20,3/16/20,3/16/20,3/13/20,3/28/20,5/9/20,3/30/20,5/9/20,0,4/18/20,4/18/20,1,1,3/17/20,0,3/23/20,0,3/23/20,0,3/19/20,0,0,3/16/20,0,3/25/20,3/14/20,3/18/20,3/18/20,0,0,0,3/8/20,0,0,0,1,1,0,1,1,684.35,1057315,1545,"1,055",5.5,12.9,38.3,"10,083"
South Carolina,3/13/20,3/16/20,0,3/15/20,4/7/20,5/4/20,4/1/20,4/20/20,0,0,0,1,1,3/18/20,5/4/20,4/1/20,0,4/1/20,0,3/17/20,0,0,3/18/20,0,3/30/20,0,0,3/15/20,0,0,0,3/19/20,0,0,1,0,0,0,0,0,158.78,5084127,32020,"4,172",5.3,15.3,41.4,"50,640"
South Dakota,3/13/20,3/16/20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3/24/20,0,4/15/20,3/23/20,3/23/20,0,0,0,0,0,1,1,1,0,0,0,11.44,882235,77116,995,3,13.1,35.3,"7,971"
Tennessee,3/12/20,3/20/20,0,3/23/20,4/2/20,5/1/20,4/1/20,0,1,0,0,1,1,3/23/20,0,3/23/20,0,3/23/20,0,0,0,0,3/31/20,0,3/30/20,0,0,0,3/24/20,5/1/20,0,3/19/20,1,"3/23 Governor banned all non-essential medical procedures, including abortion. 4/17 blocked by federal district court.",1,1,1,0,0,0,160.64,6770010,42144,7467,5.5,15.3,41.6,"71,078"
Texas,3/13/20,3/23/20,0,3/21/20,0,4/27/20,3/31/20,5/1/20,1,0,0,1,1,3/21/20,5/1/20,3/21/20,0,3/31/20,5/1/20,0,3/19/20,0,3/26/20,0,3/30/20,0,3/17/20,3/17/20,3/22/20,4/21/20,0,3/17/20,1,"3/22 Governor banned all non-essential medical procedures, including abortion. The ban was challenged in the 5th Circuit Court of Appeals multiple times. 4/17 governor issued an EO allowing abortions to continue 4/21.",1,1,0,0,0,0,106.86,28701845,268596,"25,848",4.9,14.9,34.8,"202,211"
Utah,3/6/20,3/16/20,0,4/1/20,0,0,0,0,0,4/10/20,4/10/20,1,1,3/19/20,5/1/20,0,5/1/20,0,5/1/20,0,4/1/20,0,0,0,4/10/20,0,3/25/20,0,3/25/20,4/22/20,0,0,0,0,0,1,0,0,0,1,37.23,3161105,84897,"2,798",3.2,9,30,"18,354"
Vermont,3/13/20,3/18/20,3/18/20,3/13/20,3/25/20,0,3/25/20,4/27/20,0,0,4/17/20,1,1,3/17/20,0,3/23/20,0,3/25/20,0,0,0,0,3/27/20,0,3/30/20,3/20/20,3/20/20,3/30/20,3/20/20,0,0,3/13/20,0,0,1,1,1,0,1,1,65.13,626299,9616,"1,089",3.8,11,39.1,"6,027"
Virginia,3/12/20,3/16/20,0,0,3/30/20,0,0,0,0,0,0,1,1,3/25/20,0,3/25/20,0,3/25/20,0,0,0,0,3/16/20,0,3/23/20,0,0,3/19/20,3/25/20,5/1/20,0,3/17/20,0,0,1,1,1,0,0,1,199.13,8517685,42775,"5,783",4.2,10.7,35.9,"69,359"
Washington,2/29/20,3/17/20,0,3/16/20,3/23/20,0,3/25/20,0,0,0,0,1,0,3/16/20,0,3/16/20,0,3/16/20,0,3/18/20,3/18/20,0,3/18/20,0,3/19/20,3/10/20,3/25/20,3/25/20,3/19/20,4/29/20,0,3/18/20,0,0,1,1,0,0,1,1,105.69,7535591,71298,21577,4.3,10.3,35.1,"56,877"
West Virginia,3/16/20,3/16/20,3/26/20,0,3/24/20,5/4/20,3/24/20,5/4/20,1,0,5/4/20,1,1,3/18/20,5/4/20,3/19/20,0,3/24/20,0,0,0,0,0,0,3/30/20,0,3/16/20,3/17/20,4/1/20,4/20/20,0,3/19/20,1,"Governor banned elective medical procedures 3/31; 4/1 attorney general clarified that abortions were considered elective. 4/24 Women’s Health Center of West Virginia filed a complaint requesting a stay on the ban of elective medical procedures. 4/30 all medical procedures, including abortion, allowed to resume per governor's executive order",1,1,0,0,0,1,74.53,1805832,24230,"1,397",5.8,17.8,49.3,"23,478"
Wisconsin,3/12/20,3/19/20,0,0,3/25/20,0,3/25/20,0,0,0,0,1,1,3/17/20,0,3/25/20,0,3/25/20,0,3/27/20,3/27/20,0,3/22/20,0,4/20/20,0,0,3/12/20,0,0,0,0,0,0,1,1,1,0,0,0,88.76,5813568,65496,"4,538",3.2,11,36.5,"53,684"
Wyoming,3/13/20,3/19/20,3/19/20,0,0,0,0,4/28/20,0,0,5/1/20,1,1,3/19/20,0,3/19/20,4/28/20,3/19/20,0,0,0,0,0,0,3/27/20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.91,577737,97813,548,3.9,11.1,36.4,"5,070"
Total with each policy (out of 51 with DC),51,50,15,30,40,13,40,25,14,15,23,49,44,50,15,46,9,46,6,24,26,2,34,1,51,13,27,45,33,29,9,36,15,15,44,42,22,4,13,37,,,,,,,,
Notes,,"Did not require executive order if department of education closed all public schools. If spring break prior to closure, considered closure to begin on first day of spring break. If closure announced on weekend, first week day closed is listed. If closure announced in evening, considered to apply to next day. Some states only applied order to public schools.","If closure announced in evening, considered to apply to next day. If closure announced on weekend, first week day closed is listed.",,We recorded guidance or encouragement to stay at home as a 0 in the absence of an order or directive (differing from the New York Times tracking),,,,*Clear social distancing requirement is defined as a mandate that gatherings must be less than 10 people and/or adherence to CDC social distance guidelines,,,,,,,Note: This column applies to specific orders closing gyms. Many policies closing non-essential businesses closed gyms as non-essential.,,Note: This column applies to specific orders closing theaters. Many policies closing non-essential businesses closed theaters as non-essential.,,,,,Many utility companies voluntarily suspending shutoffs,,Section 1135 waivers allow states to modify or waive certain Medicaid requirements. https://www.cms.gov/about-cms/emergency-preparedness-response-operations/current-emergencies/coronavirus-waivers,,*state already allowed audio-only telehealth ,*some states already allowed telehealth visits through Medicaid ,,,Date the waiting period waived in Delaware and Missouri was not found,Date the waiting period waived in Delaware and Missouri was not found,,,,,,,Source: https://www.zenefits.com/workest/the-definitive-list-of-states-and-cities-with-paid-sick-leave-laws/. Often depends on business size.,Source: Kaiser Family Foundation,,Source: WIQARS,,Source: 2019 AHAR: Part 1 - PIT Estimates of Homelessness in the U.S. https://www.hudexchange.info/homelessness-assistance/ahar/#2019-reports,Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),Source: Kaiser Family Foundation https://www.kff.org/global-health-policy/issue-brief/how-many-adults-are-at-risk-of-serious-illness-if-infected-with-coronavirus/,Source: CDC Wonder
,,Checked against: https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,Checked against: https://www.childcareaware.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If not specified in order, the date of closure was the first school day after a closure order was signed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
